v1	V(n001)	V(n002)	I(D)
-8.910000000000023e+00	-3.173868e-08	-1.347778e+01	-1.348778e-11
-8.900000000000023e+00	-3.173399e-08	-1.347777e+01	-1.348777e-11
-8.890000000000024e+00	-3.172930e-08	-1.347777e+01	-1.348777e-11
-8.880000000000024e+00	-3.172461e-08	-1.347777e+01	-1.348777e-11
-8.870000000000024e+00	-3.171992e-08	-1.347777e+01	-1.348777e-11
-8.860000000000024e+00	-3.171523e-08	-1.347777e+01	-1.348777e-11
-8.850000000000025e+00	-3.171054e-08	-1.347777e+01	-1.348777e-11
-8.840000000000025e+00	-3.170585e-08	-1.347777e+01	-1.348777e-11
-8.830000000000025e+00	-3.170116e-08	-1.347777e+01	-1.348777e-11
-8.820000000000025e+00	-3.169646e-08	-1.347777e+01	-1.348776e-11
-8.810000000000025e+00	-3.169177e-08	-1.347776e+01	-1.348776e-11
-8.800000000000026e+00	-3.168708e-08	-1.347776e+01	-1.348776e-11
-8.790000000000026e+00	-3.168239e-08	-1.347776e+01	-1.348776e-11
-8.780000000000026e+00	-3.167770e-08	-1.347776e+01	-1.348776e-11
-8.770000000000026e+00	-3.167301e-08	-1.347776e+01	-1.348776e-11
-8.760000000000026e+00	-3.166832e-08	-1.347776e+01	-1.348776e-11
-8.750000000000027e+00	-3.166363e-08	-1.347776e+01	-1.348776e-11
-8.740000000000027e+00	-3.165894e-08	-1.347775e+01	-1.348776e-11
-8.730000000000027e+00	-3.165425e-08	-1.347775e+01	-1.348775e-11
-8.720000000000027e+00	-3.164956e-08	-1.347775e+01	-1.348775e-11
-8.710000000000027e+00	-3.164487e-08	-1.347775e+01	-1.348775e-11
-8.700000000000028e+00	-3.164017e-08	-1.347775e+01	-1.348775e-11
-8.690000000000028e+00	-3.163548e-08	-1.347775e+01	-1.348775e-11
-8.680000000000028e+00	-3.163079e-08	-1.347775e+01	-1.348775e-11
-8.670000000000028e+00	-3.162610e-08	-1.347775e+01	-1.348775e-11
-8.660000000000029e+00	-3.162141e-08	-1.347775e+01	-1.348774e-11
-8.650000000000029e+00	-3.161672e-08	-1.347774e+01	-1.348774e-11
-8.640000000000029e+00	-3.161203e-08	-1.347774e+01	-1.348774e-11
-8.630000000000029e+00	-3.160734e-08	-1.347774e+01	-1.348774e-11
-8.620000000000029e+00	-3.160265e-08	-1.347774e+01	-1.348774e-11
-8.610000000000030e+00	-3.159796e-08	-1.347774e+01	-1.348774e-11
-8.600000000000030e+00	-3.159327e-08	-1.347774e+01	-1.348774e-11
-8.590000000000030e+00	-3.158857e-08	-1.347774e+01	-1.348774e-11
-8.580000000000030e+00	-3.158388e-08	-1.347774e+01	-1.348774e-11
-8.570000000000030e+00	-3.157919e-08	-1.347773e+01	-1.348773e-11
-8.560000000000031e+00	-3.157450e-08	-1.347773e+01	-1.348773e-11
-8.550000000000031e+00	-3.156981e-08	-1.347773e+01	-1.348773e-11
-8.540000000000031e+00	-3.156512e-08	-1.347773e+01	-1.348773e-11
-8.530000000000031e+00	-3.156043e-08	-1.347773e+01	-1.348773e-11
-8.520000000000032e+00	-3.155574e-08	-1.347773e+01	-1.348773e-11
-8.510000000000032e+00	-3.155105e-08	-1.347773e+01	-1.348773e-11
-8.500000000000032e+00	-3.154636e-08	-1.347773e+01	-1.348773e-11
-8.490000000000032e+00	-3.154167e-08	-1.347772e+01	-1.348772e-11
